Apsim version = 7.8
Title = GILMORE_SC_ConvTill_MRTN_FreeDrained
 
year date sum_subsurface_drain sum_subsurface_drain_no3 sum_subsurface_drainerror sum_subsurface_drain_no3error
() (mm/dd/yyyy) () () () ()
2011 01/01/2011 0 0 0 0
2011 01/02/2011 0 0 0 0
2011 01/03/2011 0 0 0 0
2011 01/04/2011 0 0 0 0
2011 01/05/2011 0 0 0 0
2011 01/06/2011 0 0 0 0
2011 01/07/2011 0 0 0 0
2011 01/08/2011 0 0 0 0
2011 01/09/2011 0 0 0 0
2011 01/10/2011 0 0 0 0
2011 01/11/2011 0 0 0 0
2011 01/12/2011 0 0 0 0
2011 01/13/2011 0 0 0 0
2011 01/14/2011 0 0 0 0
2011 01/15/2011 0 0 0 0
2011 01/16/2011 0 0 0 0
2011 01/17/2011 0 0 0 0
2011 01/18/2011 0 0 0 0
2011 01/19/2011 0 0 0 0
2011 01/20/2011 0 0 0 0
2011 01/21/2011 0 0 0 0
2011 01/22/2011 0 0 0 0
2011 01/23/2011 0 0 0 0
2011 01/24/2011 0 0 0 0
2011 01/25/2011 0 0 0 0
2011 01/26/2011 0 0 0 0
2011 01/27/2011 0 0 0 0
2011 01/28/2011 0 0 0 0
2011 01/29/2011 0 0 0 0
2011 01/30/2011 0 0 0 0
2011 01/31/2011 0 0 0 0
2011 02/01/2011 0 0 0 0
2011 02/02/2011 0 0 0 0
2011 02/03/2011 0 0 0 0
2011 02/04/2011 0 0 0 0
2011 02/05/2011 0 0 0 0
2011 02/06/2011 0 0 0 0
2011 02/07/2011 0 0 0 0
2011 02/08/2011 0 0 0 0
2011 02/09/2011 0 0 0 0
2011 02/10/2011 0 0 0 0
2011 02/11/2011 0 0 0 0
2011 02/12/2011 0 0 0 0
2011 02/13/2011 0 0 0 0
2011 02/14/2011 0 0 0 0
2011 02/15/2011 0 0 0 0
2011 02/16/2011 0 0 0 0
2011 02/17/2011 0 0 0 0
2011 02/18/2011 0 0 0 0
2011 02/19/2011 0 0 0 0
2011 02/20/2011 0 0 0 0
2011 02/21/2011 0 0 0 0
2011 02/22/2011 0 0 0 0
2011 02/23/2011 0 0 0 0
2011 02/24/2011 0 0 0 0
2011 02/25/2011 0 0 0 0
2011 02/26/2011 0 0 0 0
2011 02/27/2011 0 0 0 0
2011 02/28/2011 0 0 0 0
2011 03/01/2011 0 0 0 0
2011 03/02/2011 0 0 0 0
2011 03/03/2011 0 0 0 0
2011 03/04/2011 0 0 0 0
2011 03/05/2011 0 0 0 0
2011 03/06/2011 0 0 0 0
2011 03/07/2011 0 0 0 0
2011 03/08/2011 0 0 0 0
2011 03/09/2011 0 0 0 0
2011 03/10/2011 0 0 0 0
2011 03/11/2011 0 0 0 0
2011 03/12/2011 0 0 0 0
2011 03/13/2011 0 0 0 0
2011 03/14/2011 0 0 0 0
2011 03/15/2011 0 0 0 0
2011 03/16/2011 0 0 0 0
2011 03/17/2011 0 0 0 0
2011 03/18/2011 0 0 0 0
2011 03/19/2011 0 0 0 0
2011 03/20/2011 0 0 0 0
2011 03/21/2011 0 0 0 0
2011 03/22/2011 0 0 0 0
2011 03/23/2011 0 0 0 0
2011 03/24/2011 0 0 0 0
2011 03/25/2011 0 0 0 0
2011 03/26/2011 0 0 0 0
2011 03/27/2011 0 0 0 0
2011 03/28/2011 0 0 0 0
2011 03/29/2011 0 0 0 0
2011 03/30/2011 0 0 0 0
2011 03/31/2011 0 0 0 0
2011 04/01/2011 0 0 0 0
2011 04/02/2011 0 0 0 0
2011 04/03/2011 0 0 0 0
2011 04/04/2011 0 0 0 0
2011 04/05/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/06/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/07/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/08/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/09/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/10/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/11/2011 0.92049575 0.0900428668 1.43666652280627 0.147552949681897
2011 04/12/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/13/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/14/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/15/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/16/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/17/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/18/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/19/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/20/2011 8.72800475 0.5879913276 15.0061809065458 0.933554504236763
2011 04/21/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/22/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/23/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/24/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/25/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/26/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/27/2011 24.59255475 2.3787722676 13.9668713171494 1.48068583005028
2011 04/28/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 04/29/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 04/30/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 05/01/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 05/02/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 05/03/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 05/04/2011 42.56310975 4.3079261916 14.2042077507848 1.27285921314245
2011 05/05/2011 44.811232425 4.54507993811448 12.7484981966636 1.08357587884739
2011 05/06/2011 44.811232425 4.54507993811448 12.7484981966636 1.08357587884739
2011 05/07/2011 44.811232425 4.54507993811448 12.7484981966636 1.08357587884739
2011 05/08/2011 44.811232425 4.54507993811448 12.7484981966636 1.08357587884739
2011 05/09/2011 44.811232425 4.54507993811448 12.7484981966636 1.08357587884739
2011 05/10/2011 46.727082425 4.70160488311447 15.5167021083467 1.11798215980326
2011 05/11/2011 46.727082425 4.70160488311447 15.5167021083467 1.11798215980326
2011 05/12/2011 46.727082425 4.70160488311447 15.5167021083467 1.11798215980326
2011 05/13/2011 46.727082425 4.70160488311447 15.5167021083467 1.11798215980326
2011 05/14/2011 46.727082425 4.70160488311447 15.5167021083467 1.11798215980326
2011 05/15/2011 46.727082425 4.70160488311447 15.5167021083467 1.11798215980326
2011 05/16/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/17/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/18/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/19/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/20/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/21/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/22/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/23/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/24/2011 49.299582425 4.92875663311447 19.7993628554979 1.30706596371115
2011 05/25/2011 65.43391935 6.5784652886555 34.6479432401305 2.43173398700334
2011 05/26/2011 65.43391935 6.5784652886555 34.6479432401305 2.43173398700334
2011 05/27/2011 65.43391935 6.5784652886555 34.6479432401305 2.43173398700334
2011 05/28/2011 65.43391935 6.5784652886555 34.6479432401305 2.43173398700334
2011 05/29/2011 65.43391935 6.5784652886555 34.6479432401305 2.43173398700334
2011 05/30/2011 65.43391935 6.5784652886555 34.6479432401305 2.43173398700334
2011 05/31/2011 95.35994435 10.0401829611555 45.4763165538856 3.64574554900341
2011 06/01/2011 95.35994435 10.0401829611555 45.4763165538856 3.64574554900341
2011 06/02/2011 95.35994435 10.0401829611555 45.4763165538856 3.64574554900341
2011 06/03/2011 95.35994435 10.0401829611555 45.4763165538856 3.64574554900341
2011 06/04/2011 95.35994435 10.0401829611555 45.4763165538856 3.64574554900341
